5c73a2fb9fba76b16c6f08ba27dd333bb0fda4bf,DELETE,regular-file,input/2020/D1.txt,990,
8d6991244ba294e9527c2797e16d126d02a4ef7e,DELETE,regular-file,input/2020/D10.txt,306,
f374700eae478bb30440b506882b263108d06de1,DELETE,regular-file,input/2020/D11.txt,9114,
7b923fca2885ee44f317c88f9f3714eed5041701,DELETE,regular-file,input/2020/D12.txt,2732,
47042d22394ae88b08a3bc1754e5b327c1b8a049,DELETE,regular-file,input/2020/D13.txt,10,
f49440745058678ecca1ae2a56b86c69a3093eec,DELETE,regular-file,input/2020/D2.txt,20885,
9256a36286920c79df7225a510486362b6cce78a,DELETE,regular-file,input/2020/D3.txt,10336,
8cdfd0a1b544daea7223788879ec1214ca2681ff,DELETE,regular-file,input/2020/D4.txt,18620,
05530c3fd1b025e833e1c3c356172d51c817b921,DELETE,regular-file,input/2020/D5.txt,9306,
b3eb36feed96e8d29280623e1e0a7669a14b9c2e,DELETE,regular-file,input/2020/D6.txt,17922,
ccf5d2e3bcfc8bbab4a38e338f2c0528cf309416,DELETE,regular-file,input/2020/D7.txt,44294,
51d6878ddc5ed4e8d197293f57e9f1dd9c5186ff,DELETE,regular-file,input/2020/D8.txt,5091,
2de9dba9368328a0507db836d75e9eaf50b46bd4,DELETE,regular-file,input/2020/D9.txt,8830,
863e4f78e25dcacdc032156fa4e1eb4b3974ea3a,DELETE,regular-file,input/2024/D1.txt,14000,
